FrameIdentifier,TyresWearRL,TyresWearRR,TyresWearFL,TyresWearFR,TyresDamageRL,TyresDamageRR,TyresDamageFL,TyresDamageFR,NumLaps,NumTyreStints,BestLapTimeLapNum,BestSector1LapNum,BestSector2LapNum,BestSector3LapNum,lapTimeInMS[0],sector1TimeInMS[0],sector2TimeInMS[0],sector3TimeInMS[0],lapValidBitFlags[0],lapTimeInMS[1],sector1TimeInMS[1],sector2TimeInMS[1],sector3TimeInMS[1],lapValidBitFlags[1],lapTimeInMS[2],sector1TimeInMS[2],sector2TimeInMS[2],sector3TimeInMS[2],lapValidBitFlags[2],lapTimeInMS[3],sector1TimeInMS[3],sector2TimeInMS[3],sector3TimeInMS[3],lapValidBitFlags[3],lapTimeInMS[4],sector1TimeInMS[4],sector2TimeInMS[4],sector3TimeInMS[4],lapValidBitFlags[4],lapTimeInMS[5],sector1TimeInMS[5],sector2TimeInMS[5],sector3TimeInMS[5],lapValidBitFlags[5],lapTimeInMS[6],sector1TimeInMS[6],sector2TimeInMS[6],sector3TimeInMS[6],lapValidBitFlags[6],lapTimeInMS[7],sector1TimeInMS[7],sector2TimeInMS[7],sector3TimeInMS[7],lapValidBitFlags[7],lapTimeInMS[8],sector1TimeInMS[8],sector2TimeInMS[8],sector3TimeInMS[8],lapValidBitFlags[8],lapTimeInMS[9],sector1TimeInMS[9],sector2TimeInMS[9],sector3TimeInMS[9],lapValidBitFlags[9],lapTimeInMS[10],sector1TimeInMS[10],sector2TimeInMS[10],sector3TimeInMS[10],lapValidBitFlags[10],lapTimeInMS[11],sector1TimeInMS[11],sector2TimeInMS[11],sector3TimeInMS[11],lapValidBitFlags[11],lapTimeInMS[12],sector1TimeInMS[12],sector2TimeInMS[12],sector3TimeInMS[12],lapValidBitFlags[12],lapTimeInMS[13],sector1TimeInMS[13],sector2TimeInMS[13],sector3TimeInMS[13],lapValidBitFlags[13],lapTimeInMS[14],sector1TimeInMS[14],sector2TimeInMS[14],sector3TimeInMS[14],lapValidBitFlags[14],lapTimeInMS[15],sector1TimeInMS[15],sector2TimeInMS[15],sector3TimeInMS[15],lapValidBitFlags[15],endLap[0],tyreActualCompound[0],tyreVisualCompound[0],endLap[1],tyreActualCompound[1],tyreVisualCompound[1],endLap[2],tyreActualCompound[2],tyreVisualCompound[2],LastLapTimeInMS,CurrentLapTimeInMS,Sector1TimeInMS,Sector2TimeInMS,LapDistance,TotalDistance,CurrentLapNum,Sector,PitStopShouldServePen,DriverStatus,WorldPositionX,WorldPositionY,WorldPositionZ,RLWheelSlip,RRWheelSlip,FLWheelSlip,FRWheelSlip,Pitch,Roll,Weather,TrackTemperature,AirTemperature,TotalLaps,TrackLength,SessionType,TrackId,Formula,SessionTimeLeft,SessionDuration,NumMarshalZones,ZoneStart[0],ZoneFlag[0],ZoneStart[1],ZoneFlag[1],ZoneStart[2],ZoneFlag[2],ZoneStart[3],ZoneFlag[3],ZoneStart[4],ZoneFlag[4],ZoneStart[5],ZoneFlag[5],ZoneStart[6],ZoneFlag[6],ZoneStart[7],ZoneFlag[7],ZoneStart[8],ZoneFlag[8],ZoneStart[9],ZoneFlag[9],ZoneStart[10],ZoneFlag[10],ZoneStart[11],ZoneFlag[11],ZoneStart[12],ZoneFlag[12],ZoneStart[13],ZoneFlag[13],ZoneStart[14],ZoneFlag[14],SafetyCarStatus,NumWeatherForecastSamples,ForecastAccuracy,PitStopWindowIdealLap,PitStopWindowLatestLap,PitStopRejoinPosition,FrontWing,RearWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSuspension,RearSuspension,FrontAntiRollBar,RearAntiRollBar,FrontSuspensionHeight,RearSuspensionHeight,BrakePressure,BrakeBias,RearLeftTyrePressure,RearRightTyrePressure,FrontLeftTyrePressure,FrontRightTyrePressure,Ballast,FuelLoad,FuelInTank,FuelCapacity,FuelRemainingLaps,ActualTyreCompound,VisualTyreCompound,TyresAgeLaps,VehicleFIAFlags,ERSStoreEnergy,ERSDeployMode,ERSHarvestedThisLapMGUK,ERSHarvestedThisLapMGUH,ERSDeployedThisLap,Speed,Throttle,Brake,Gear,EngineRPM,DRS,RLBrakeTemperature,RRBrakeTemperature,FLBrakeTemperature,FRBrakeTemperature,RLTyreSurfaceTemperature,RRTyreSurfaceTemperature,FLTyreSurfaceTemperature,FRTyreSurfaceTemperature,RLTyreInnerTemperature,RRTyreInnerTemperature,FLTyreInnerTemperature,FRTyreInnerTemperature,EngineTemperature,RLTyrePressure,RRTyrePressure,FLTyrePressure,FRTyrePressure
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,10.0,10.0,9.0,7.0,88321.0,25484.0,27376.0,35461.0,15.0,85706,24435,27077,34193,15,84282,24321,26407,33553,15,84196,24278,26984,32932,15,83859,24031,26621,33206,15,84045,24337,26417,33290,15,83817,24645,26330,32842,15,83960,24180,26444,33334,15,83743,24206,26318,33218,15,83581,23958,26539,33084,15,84083,24045,26726,33311,15,87247,24913,27847,34485,15,86940,25185,27686,34068,15,87086,25265,27730,34090,15,87643,25229,27943,34471,15,0,0,0,0,15,10.0,7.0,7.0,255,8,8,0,0,0,0.0,0.0,0.0,0.0,4213.164551,4213.164551,1.0,2.0,0.0,0.0,367.275513,87.710625,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,3600.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,60.000004,110.0,40.887375,16.0,16.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,27.0,27.0,27.0,27.0,85.0,85.0,90.0,90.0,85.0,85.0,90.0,90.0,90.0,23.1,23.1,21.799999,21.799999
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275513,87.710625,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,3599.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,60.000004,110.0,40.887375,16.0,16.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,27.0,27.0,27.0,27.0,85.0,85.0,90.0,90.0,85.0,85.0,90.0,90.0,90.0,23.1,23.1,21.799999,21.799999
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275513,87.710625,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,3.0,24.0,18.0,200.0,4371.0,1.0,6.0,0.0,3599.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,65.0,50.0,-2.5,-1.7,0.05,0.2,3.0,5.0,2.0,4.0,5.0,6.0,92.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,3.0,24.0,18.0,200.0,4371.0,1.0,6.0,0.0,3598.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,65.0,50.0,-2.5,-1.7,0.05,0.2,3.0,5.0,2.0,4.0,5.0,6.0,92.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,24.0,18.0,200.0,4371.0,1.0,6.0,0.0,3598.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,65.0,50.0,-2.5,-1.7,0.05,0.2,3.0,5.0,2.0,4.0,5.0,6.0,92.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,3.0,24.0,18.0,200.0,4371.0,1.0,6.0,0.0,3597.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,65.0,50.0,-2.5,-1.7,0.05,0.2,3.0,5.0,2.0,4.0,5.0,6.0,92.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
31,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4529.729004,-4529.729004,1.0,2.0,0.0,0.0,367.275299,87.708214,971.551331,0.0,0.0,0.0,0.0,-0.007879,0.000869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,110.0,13.583617,7.0,7.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.0,0.0,29.0,29.0,29.0,29.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,90.0,21.5,21.5,23.0,23.0
